"table_schema","constraint_name","table_name","column_name","foreign_table_schema","foreign_table_name","foreign_column_name","constraint_type"
"public","gigs_pkey","gigs","id","public","gigs","id","PRIMARY KEY"
"public","stageplots_pkey","stageplots","id","public","stageplots","id","PRIMARY KEY"
"public","setlists_pkey","setlists","id","public","setlists","id","PRIMARY KEY"
"public","leads_pkey","leads","id","public","leads","id","PRIMARY KEY"
"public","leads_venue_id_fkey","leads","venue_id","public","venues","id","FOREIGN KEY"
"public","communications_lead_id_fkey","communications","lead_id","public","leads","id","FOREIGN KEY"
"public","communications_pkey","communications","id","public","communications","id","PRIMARY KEY"
"public","reminders_lead_id_fkey","reminders","lead_id","public","leads","id","FOREIGN KEY"
"public","reminders_pkey","reminders","id","public","reminders","id","PRIMARY KEY"
"public","rider_section_content_pkey","rider_section_content","id","public","rider_section_content","id","PRIMARY KEY"
"public","rider_section_content_rider_id_fkey","rider_section_content","rider_id","public","riders","id","FOREIGN KEY"
"public","technical_rider_sections_pkey","technical_rider_sections","id","public","technical_rider_sections","id","PRIMARY KEY"
"public","hospitality_rider_sections_pkey","hospitality_rider_sections","id","public","hospitality_rider_sections","id","PRIMARY KEY"
"public","saved_venues_pkey","saved_venues","id","public","saved_venues","id","PRIMARY KEY"
"public","saved_venues_venue_id_fkey","saved_venues","venue_id","public","venues","id","FOREIGN KEY"
"public","unique_user_venue","saved_venues","user_id","public","saved_venues","venue_id","UNIQUE"
"public","unique_user_venue","saved_venues","user_id","public","saved_venues","user_id","UNIQUE"
"public","unique_user_venue","saved_venues","venue_id","public","saved_venues","venue_id","UNIQUE"
"public","unique_user_venue","saved_venues","venue_id","public","saved_venues","user_id","UNIQUE"
"public","lead_notes_lead_id_fkey","lead_notes","lead_id","public","leads","id","FOREIGN KEY"
"public","lead_notes_pkey","lead_notes","id","public","lead_notes","id","PRIMARY KEY"
"public","venues_pkey","venues","id","public","venues","id","PRIMARY KEY"
"public","attachments_communication_id_fkey","attachments","communication_id","public","communications","id","FOREIGN KEY"
"public","attachments_lead_id_fkey","attachments","lead_id","public","leads","id","FOREIGN KEY"
"public","attachments_pkey","attachments","id","public","attachments","id","PRIMARY KEY"
"public","profiles_pkey","profiles","id","public","profiles","id","PRIMARY KEY"
"public","lead_attachments_lead_id_fkey","lead_attachments","lead_id","public","leads","id","FOREIGN KEY"
"public","lead_attachments_pkey","lead_attachments","id","public","lead_attachments","id","PRIMARY KEY"
"public","venuespull_pkey","venuespull","id","public","venuespull","id","PRIMARY KEY"
"public","subscriptions_pkey","subscriptions","id","public","subscriptions","id","PRIMARY KEY"
"public","subscriptions_price_id_fkey","subscriptions","price_id","public","prices","id","FOREIGN KEY"
"public","prices_pkey","prices","id","public","prices","id","PRIMARY KEY"
"public","prices_product_id_fkey","prices","product_id","public","products","id","FOREIGN KEY"
"public","products_pkey","products","id","public","products","id","PRIMARY KEY"
"public","tourconnect_gig_id_fkey","tourconnect","gig_id","public","gigs","id","FOREIGN KEY"
"public","tourconnect_pkey","tourconnect","id","public","tourconnect","id","PRIMARY KEY"
"public","tourconnect_tour_id_fkey","tourconnect","tour_id","public","tours","id","FOREIGN KEY"
"public","tourconnect_tour_id_gig_id_key","tourconnect","tour_id","public","tourconnect","gig_id","UNIQUE"
"public","tourconnect_tour_id_gig_id_key","tourconnect","tour_id","public","tourconnect","tour_id","UNIQUE"
"public","tourconnect_tour_id_gig_id_key","tourconnect","gig_id","public","tourconnect","gig_id","UNIQUE"
"public","tourconnect_tour_id_gig_id_key","tourconnect","gig_id","public","tourconnect","tour_id","UNIQUE"
"public","tours_pkey","tours","id","public","tours","id","PRIMARY KEY"
"public","stage_plots_pkey","stage_plots","id","public","stage_plots","id","PRIMARY KEY"
"public","stage_plot_items_pkey","stage_plot_items","id","public","stage_plot_items","id","PRIMARY KEY"
"public","stage_plot_items_stage_plot_id_fkey","stage_plot_items","stage_plot_id","public","stage_plots","id","FOREIGN KEY"
"public","setlist_songs_pkey","setlist_songs","id","public","setlist_songs","id","PRIMARY KEY"
"public","riders_gig_id_fkey","riders","gig_id","public","gigs","id","FOREIGN KEY"
"public","riders_pkey","riders","id","public","riders","id","PRIMARY KEY"
"public","riders_stage_plot_id_fkey","riders","stage_plot_id","public","stage_plots","id","FOREIGN KEY"
"public","technical_rider_details_pkey","technical_rider_details","id","public","technical_rider_details","id","PRIMARY KEY"
"public","technical_rider_details_rider_id_fkey","technical_rider_details","rider_id","public","riders","id","FOREIGN KEY"
"public","hospitality_rider_details_pkey","hospitality_rider_details","id","public","hospitality_rider_details","id","PRIMARY KEY"
"public","hospitality_rider_details_rider_id_fkey","hospitality_rider_details","rider_id","public","riders","id","FOREIGN KEY"